accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.00823968,-0.154907136,0
0.007690752,-0.153808704,0
0.007964928,-0.152160768,0
0.007690176,-0.151611264,0
0.007965504,-0.149688576,0
0.007415424,-0.149139072,0
0.00823968,-0.147217536,0
0.007416,-0.14666688,0
0.007690176,-0.144470592,0
0.007690752,-0.144470016,0
0.007416,-0.1419984,0
0.0076896,-0.141723648,0
0.007691328,-0.140075136,0
0.007415424,-0.138977856,0
0.007415424,-0.13760352,0
0.007141248,-0.136230336,0
0.007965504,-0.13540608,0
0.006591744,-0.133759296,0
0.007964352,-0.132934464,0
0.007141824,-0.131285952,0
0.006866496,-0.130463424,0
0.007415424,-0.129089088,0
0.007416,-0.127441152,0
0.00686592,-0.126617472,0
0.007416576,-0.125244288,0
0.00686592,-0.124145856,0
0.006866496,-0.123046272,0
0.006866496,-0.121399488,0
0.007416,-0.120299904,0
0.006591744,-0.119202048,0
0.007415424,-0.118102464,0
0.00659232,-0.116180928,0
0.006591744,-0.1159056,0
0.00686592,-0.113982912,0
0.006867072,-0.113159232,0
0.006591168,-0.111511296,0
0.006867072,-0.110412864,0
0.00686592,-0.109313856,0
0.006317568,-0.107940096,0
